"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"year[50,12]",-0.70171041407729,0.600601912483501,-1.85112187397976,-1.11007960100095,-0.707736381039901,-0.303210683371004,0.496563251395054,0.999986913201259,40000,1,0.879225
"year[51,12]",-0.0803839116382881,0.622917005287521,-1.30686290243665,-0.499731846143235,-0.0782291899154949,0.34259186005581,1.13318009301833,1.0002577640119,8634,1,0.5502
"year[52,12]",-0.072638954092317,0.847813803155173,-1.75773114003945,-0.637692767997944,-0.0702960618239996,0.496832800243027,1.57926147252734,1.00095366420629,2659,1,0.534275
"year[53,12]",-0.559386672158039,0.758615069255962,-2.07601531770682,-1.06341841653803,-0.553032586929392,-0.0462292918770821,0.908989112734297,1.00050232951111,5098,1,0.7694
"year[54,12]",0.44481625072514,0.647810165097846,-0.849188756072156,0.0125595356065952,0.456770489456701,0.879227038702504,1.6904052438183,1.00044006125,7856,1,0.75635
"year[55,12]",-0.148522214271502,0.750971340432155,-1.64320021029853,-0.65218984937992,-0.137336059985712,0.361703151807052,1.29269923646777,1.00014489911063,14470,1,0.5728
"year[56,12]",-0.247382432413912,0.814091205329556,-1.8701039108404,-0.791323194325325,-0.241384999212633,0.297887314249582,1.35058264609889,1.00034419023377,6533,1,0.6188
"year[57,12]",-0.0330930906810072,0.82614340489355,-1.66415965842391,-0.583783388765782,-0.0300212495632653,0.526675886750315,1.5589339919618,1.00004264713573,33715,1,0.514
"year[58,12]",-0.0217744123349336,0.807950538373259,-1.60622648346297,-0.5681398007441,-0.0195064728214709,0.522320793088956,1.57068182022173,1.00014206851403,14061,1,0.509775
"year[59,12]",0.259232469670347,0.818073736379381,-1.35553064046447,-0.281526910410868,0.265230398562976,0.808358703503207,1.85194046594167,1.00059042216279,4441,1,0.628525
"year[60,12]",-0.727103352214879,0.63930317769226,-1.96056838411179,-1.16045523725453,-0.735270779693832,-0.301160436474061,0.542791441579678,1.00011324251422,17156,1,0.869125
"year[61,12]",-0.212564436009667,0.80355734053565,-1.80137103350629,-0.742976825880006,-0.209828051892136,0.322082283733612,1.36047735537112,1.00018824404976,15156,1,0.60455
"year[62,12]",-0.204255081869107,0.824831519407243,-1.85682278178899,-0.744282684472416,-0.198262555620762,0.355384349440764,1.38967510399011,1.0008718127891,3056,1,0.59565
"year[63,12]",-0.108441036452584,0.821681679345537,-1.74130077181142,-0.656468400645729,-0.100818429572146,0.444995419726527,1.48533532317366,1.00000979359543,40000,1,0.54895
"year[64,12]",-0.103604993101959,0.825051723651384,-1.73180978293275,-0.65847489165646,-0.102991407161941,0.456470039580945,1.50731958758867,1.00020463884467,14501,1,0.548225
"year[65,12]",-0.91056936294311,0.443033589102876,-1.78158423965028,-1.20897431453288,-0.91124890310996,-0.613122561649177,-0.0359048444241008,1.00052494741229,4488,0,0.9794
